name,Target,Common name / Synonyms,Developer,Clinical domain,Clinical indication,Development status,Monoclonal Antibody (mAb),Linker,Drug/Payload,Cleavage Mechanism/MOA,Notes,References,Clinical Trials,Drug description,Species,Trade/Property Name,Development Technology,International Nonproprietary Name,INN Proposed / List and Year,INN Number,INN Recommended / List and Year,CAS,UNII (FDA),Expression system,Molecular Formula,Molecular Weight,Patents,Regulatory decisions,Origin clone species,NDC Code,Exact Mass,Additional Find Terms,Specificity target name,Molecular Formula: Description,Application,Regulatory agency status and year,Highlight of Prescribing Information,PubChem Structure,MeSH Unique ID,MeSH Heading,Monoisotopic Mass,Molecular Formula: Biological Sequence,Summary of Product Characterization
Cymac-001 (anti-CD163-dexamethasone ADC),"CD-163; a high affinity scavenger receptor for the hemoglobin-haptoglobin complex (in the absence of haptoglobin, with lower affinity, for hemoglobin alone. CD163 has also been shown to mark cells of monocyte/macrophage lineage.",Cymac-001; CD163-dexamethasone ADC; Cymac-001; anti-CD163-dexamethasone conjugate;  ,Affinicon,Non-Oncology; Non-Hematology; Inflammation; ,Severe and/or chronic inflammatory diseases,Preclinical; Animal testing,Anti-CD163,,Synthetic glucocorticoids (GCs) | Dexamethasone  Drug-to-antibody ratio: 4,,,,,"The synthetic glucocorticoids (GC) exert their effects via binding to the ubiquitous intracellular GC steroid receptor that in its ligand-binding conformation alters transcription of a large range of genes important for a diverse set of biological functions in metabolism, immunity, and bone/collagen formation.",,,Affinicon proprietary technology platform,,,,,,,Chinese hamster ovary (CHO) cells,,,,,,,,,,,,,,,,,,,
D3-GPC2-PBD (anti-GPC2 ADC),"GPC2; Glypican 2, also known cerebroglycan, a cell surface protein shown to be preferentially expressed on numerous pediatric cancers",D3-GPC2-PBD; anti-GPC2 ADC,Children's Hospital of Philadelphia (CHOP,Oncology,Neuroblastoma,Preclinical,D3-GPC2-IgG1,,"Pyrrolobenzodiazepine (PBD) dimer, a potent cytotoxic DNA minor groove interstrand crosslinking agent.   Drug-to-antibody ratio: 2.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEDN6526A (RG-7636 / RG7636),Endothelin receptor ETB,DEDN6526A; RG-7636;  RG7636,Genentech/Roche,Oncology,"Unresectable, malignant melanoma; melanoma, cutaneous, mucosal and ocular ",Phase I  Status: - Discontinued phase I for malignant melanoma in Australia (Roche pipeline) (July 2014) - Discontinued phase I for malignant melanoma in USA (Roche pipeline) (July 2014),,Peptide linker (using Seattle Genetics ADC technology),Monomethyl auristatin E (MMAE),"Protease Cleavable (Microtubule disruption). tubulin polymerase inhibitor; tubulin inhibitor; apoptosis stimulant; mitosis inhibitor,",,,http://adc.expert/1wSwMqI ,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHES0815A | RG6148,Human epidermal growth factor receptor 2 (ERBB2; EGFR2; HER2) ,DHES0815A RG6148 ADC DHES0815A anti-HER2/PBD-MA ADC  anti-HER2/PBD-monoamide anti-HER2/PBD-MA,Genentech/Roche,Oncology,Relapsed or refractory Acute Myeloid Leukemia.,"Phase I  First-in-human (FIH), Phase I, open-label, multicenter, dose-escalation study. (Update: April 2020) ",,,"DNA minor groove crosslinking agent pyrrolo[2,1- c][1,4]benzodiazepine monoamide (PBD-MA)",,,,"Safety, Tolerability, and Pharmacokinetic (PK) Study of DHES0815A in Participants With Human Epidermal Growth Factor Receptor (HER)2-Positive Breast Cancer -  NCT03451162 - https://clinicaltrials.gov/ct2/show/NCT03451162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMOT4039A (DMOT-4039A / RG7600 / RG 7600),mesothelin (MSLN); Unnamed antigen,,"Genentech Inc. (South San Francisco, CA, USA) / Roche, F. Hoffmann-La Roche Ltd. (Basel, Switzerland)",,Unresectable pancreatic or platinum-resistant cancer Ovarian tumor; pancreatic tumor,Phase I  Status:  - Phase I discontinued for Pancreatic cancer (Inoperable/Unresectable) in The Netherlands (October 2014) - Phase I discontinued for Pancreatic cancer (Inoperable/Unresectable) in USA (October 2014) - Phase I discontinued for Ovarian cancer (Second-line therapy or greater) in The Netherlands (October 2014),,Protease-cleavable peptide linker.,Monomethyl auristatin E (MMAE),Protease-cleavable peptide. Tubulin polymerase inhibitor; tubulin inhibitor; apoptosis stimulant; megakaryocyte potentiating factor inhibitors; mitosis inhibitors. ,"According to Weekes CD., et al (2016 Mol. Cancer Ther), this agent showed only partial, low efficacy.",,http://adc.expert/1MlGrcy,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS-7300 (B7-H3 ADC),Undisclosed,DS-7300; B7-H3 ADC,Daiichi Sankyo Company ,Oncology,Solid Tumors,Preclinical,,,,Immunomodulators ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSTA4637S (Anti-S. aureus TAC; RG7861),S. Aureus,Anti-S. aureus TAC; DSTA4637S; RG7861,Genentech,Infectious diseases,Healthy Volunteers Staphylococcus aureus infections ,Phase I,,,dmDNA31,Immunomodulators ,,,NCT02596399,"This investigational agent is a THIOMAB™ antibiotic conjugate (TAC) that consists of a human monoclonal antibody directed against Staphylococcus aureus, conjugated to an antiobiotic agent. Anti-S. aureus TAC is designed to bind to the surface of Staphylococcus aureus bacteria.",,,THIOMAB antibiotic conjugate (TAC); Staphylococcus aureus. This agent was developed utilizing Seattle Genetics' antibody-drug conjugate technology and the antibody was discovered in collaboration with Symphogen.,,,,,,,,,,,,,,,,,,,,,,,,,,
Datopotamab deruxtecan | DS-1062 (TROP2 ADC),"TACSTD also known as tumor-associated calcium signal transducer 2, membrane component chromosome 1 surface marker 1, M1S1, gastrointestinal tumor-associated antigen GA7331, pancreatic carcinoma marker protein GA733-1, epithelial glycoprotein-1, EGP-1, trophoblast antigen-2, cell surface glycoprotein Trop-2, TROP2)",DS-1062 DS1062 DS-1062A Anti-TRP2/dxd,Daiichi Sankyo,Oncology,Solid Tumors; unresectable advanced NSCLC ,Phase I,A humanized anti-TROP2 monoclonal antibody,A tetrapeptide-based linker ,A topoisomerase I inhibitor payload  With an average of 4 cysteinyl,,,,First-in-human Study of DS-1062a for Advanced Solid Tumors - NCT03401385 https://www.clinicaltrials.gov/ct2/show/NCT03401385,,CHO (Chinese Hamster Ovary) cells,,Datopotamab deruxtecan or DS-1062 is designed using Daiichi Sankyo’s proprietary DXd ADC technology.,Datopotamab deruxtecan,122 | 2019,11218,,2238831-60-0,GD2OWY1DTK,,,,,,TP15-4,,,,,,,,,,,,,,
Denintuzumab mafodotin | SGN-CD19A  | SGN-19A | hBU12-491,"CD19 (B lymphocyte surface antigen B4, Leu-12) ",SGN-19A SGN-CD19A hBU12-491,Seattle Genetics,Oncology / Hematology,All ALL and NHL  Acute lymphoblastic leukemia (ALL)  Aggressive non-Hodgkin’s lymphoma (NHL)  Refractory B-lineage non-Hodgkin lymphoma,"Phase I and Phase II  Discontinued:  - Phase I for Non-Hodgkin's lymphoma (In adolescents, In children, In infants, Second-line therapy or greater, In adults)  - Phase I for Precursor B cell lymphoblastic leukaemia-lymphoma (In adolescents, In children, In infants, Second-line therapy or greater, In adults)  - Phase II for Diffuse large B cell lymphoma (Combination therapy, First-line therapy)",IgG1 - kappa  huBU12,A noncleavable maleimidocaproxyl-valine-citrulline linker.  An average of 4 cysteinyl ,Monomethyl auristatin F (MMAF) ,Tubulin polymerase inhibitor; tubulin inhibitor; apoptosis stimulants; Immunoglobulin light chain modulators; Immunomodulators; mitosis inhibitors,,,http://adc.expert/1KVdPEy,,Humanized,,,Denintuzumab mafodotin,111 | 2014,9886,73 | 2015,1399672-02-6,UNII-H5324S1M7H,,C52-H83-N7-O13-S,1046.3297,,,Mus musculus,,,,,,,,,,,,,,
Depatuxizumab Mafodotin | ABT-414,"EGFR/EGFRde2-7 (EGFRvIII) | EGFR  (epidermal growth factor receptor, receptor tyrosine-protein  kinase erbB-1, ERBB1, HER1, HER-1, ERBB  ",ABT-414 ABT-414/806 Depatux-M,"AbbVie (prior sponsor, Abbott)",Oncology,1L and 2L Glioblastoma Multiforme (GBM) and solid tumors; Squamous cell tumors; non-small-cell lung cancer; Pediatric Brain Tumors,Phase I and II  AbbVie suspends the Phase III UNITE trial in Gliosarcoma and Glioblastoma (NCT03419403 | EudraCT2017-003171-64) ,IgG1 - kappa | Depatuxizumab (ABT-806),A stable noncleavable maleimidocaproyl (mc) linker  on an average of 4 cysteinyl ,Monomethyl Aurisatin F (MMAF),Tubulin inhibitor ,During the 2019 annual meeting of the American Society of Clinical Oncology (ASCO) Interim safety and efficacy data from the INTELLANCE-J phase I/II study in Glioblastoma were presented;   During the 2019 annual meeting of the American Society of Clinical Oncology (ASCO)  Pharmacodynamics data was presented,,http://adc.expert/17cRhBW  NCT03419403 | EudraCT2017-003171-64,,Mus musculus,,,Depatuxizumab Mafodotin,2016,10263,2017,1585973-65-4  ,F3R7A4P04N  ,Chimeric/humanized hybrid (mouse/human),C6624-H10228-N1728-O2052-S42.(C49-H76-N6-O11)n (unglycosylated),1046.3297,,,Chimeric Humanized,,,,,,,"Orphan drug (FDA designation) May 29, 2014 | FDA Rare Disease Designation for the treatment of pediatric patients with EGFR-amplified Diffuse Intrinsic Pontine Gliomas (DIPG)",,,,,,,
Derlotuximab Biotin,DNA-histone H1 complex,¹³¹I-chTNT-1/B mAb  ,Peregrine Pharmaceuticals,Oncology,Recurrent glioblastoma multiforme,,"immunoglobulin G1-kappa, anti-[Homo sapiens DNA/histone 1 (H1) complex], chimeric monoclonal antibody (TNT-1/B monoclonal antibody)",,Radio labeled  Iodine | 131 I ,,,,,"(131I) iodinated with iodine-131 covalently linked to tyrosines, and biotinylated",,Cotara,,Derlotuximab Biotin,,,,340013-96-9,1724UJB90B,,C6436H9960N1704O2022S46,145.0 kg/mol g·mol−1,,,,,,,,,Targeted radioimmunotherapy,,,,,,,,
Disitamab Vedotin | RC-48 | RC 480-ADC | RC48 | 爱地希® | Aidixi®,"Epidermal growth factor receptor 2, receptor tyrosine-protein kinase erbB-2, EGFR2, HER2, HER-2, p185c-erbB2, NEU, CD340",RC-48 RC 480-ADC RC48,"Remegen Biosciences (Shandong China), Yantai Rongchang Biological Engineering (manufactured by MabPlex)",Oncology,Solid Tumors Advanced Breast Cancer  ___  HER2-Expressing Gastric Cancer -Launched in China in June 2021)  HER2- Expressing Urothelial Carcinoma (China; Registration Trial/ Phase III)  HER2- Expressing Urothelial Carcinoma (Worldwide; Phase I / II)  HER-2 Expressing Gastric Cancer (Worldwide; Phase III)  HER2 Low-to-Non Expressing Urothelial Cancer (China; Phase II)  HER2 Expressing Biliary Tract Cancer (China; Phase II)  HER2 Expressing Non-Small Cell Lung Cancer (China; Phase I) ,Clinical Trials Phase I (Sold Tumors) Phase II (Advanced Breast Cancers) Phase III  Conditionally approved by the Chinese Center for Drug Evaluation (CDE) of the National Medical Products Administration (NMPA) for HER2-positive late-stage breast cancer patients with liver metastasis who have received Trastuzumab and taxane therapy in the past.,"Immunoglobulin G1-kappa, anti-[Homo sapiens ERBB2 (epidermal growth factor receptor 2, receptor tyrosine-protein kinase erbB-2, EGFR2, HER2, HER-2, p185c-erbB2, NEU, CD340)], humanized monoclonal antibody",A cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker.  On an average of 4 cysteinyl ,Monomethyl Auristatin E (MMAE) https://adc.expert/2Jmq1pT,,,,NCT04073602 https://www.clinicaltrials.gov/ct2/show/NCT04073602  NCT03809013 - https://clinicaltrials.gov/ct2/show/NCT03809013  NCT04329429 https://www.clinicaltrials.gov/ct2/show/NCT04329429  NCT03052634 - https://clinicaltrials.gov/ct2/show/NCT03052634  NCT04264936 https://www.clinicaltrials.gov/ct2/show/NCT04264936  NCT02881138 - https://clinicaltrials.gov/ct2/show/NCT02881138  NCT04280341 https://www.clinicaltrials.gov/ct2/show/NCT04280341  NCT03556345 - https://clinicaltrials.gov/ct2/show/NCT03556345  NCT03507166 - https://clinicaltrials.gov/ct2/show/NCT03507166  NCT03500380 - https://clinicaltrials.gov/ct2/show/NCT03500380  NCT02881190 - https://clinicaltrials.gov/ct2/show/NCT02881190  NCT04400695 https://www.clinicaltrials.gov/ct2/show/NCT04400695,"Disitamab vedotin is an anti-[ERBB2 (epidermal growth factor receptor 2, receptor tyrosine-protein kinase erbB-2, EGFR2, HER2, HER-2, p185c-erbB2, NEU, CD340)], humanized monoclonal antibody conjugated, on an average of 4 cysteinyl to monomethylauristatin E (MMAE), via a cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker.",Humanized (VH 83.5%) (VL 83.3%),爱地希® | Aidixi®,,Disitamab Vedotin,120 | 2018,10933,82 | 2019,2136633-23-1,RB3U3A1S27,CHO (Chinese Hamster Ovary) cells,,,,,,,,,,,,,,,,,,,
EC1169,PSMA; Prostate-Specific Membrane Antigen,EC1169,Endocyte,Oncology,Metastatic Castrate-resistant Prostate Cancer (mCRPC).,Phase I,,"A stable, enzyme-cleavable, bioreleasable linker",Tubulysin B hydrazide (TubBH),"EC1169 inhibits the polymerization of tubulin into microtubules which is a critical component during cell division.   Following administration of PSMA-targeted tubulysin B-containing conjugate EC1169, the PSMA ligand specifically targets and binds to PSMA, a protein which is abundantly expressed on the surface of metastatic and hormone-refractory prostate cancer cells as well as on the neovasculature of many solid tumors. This allows for the specific delivery of TubBH to PSMA-expressing cancer cells. After internalization and cleavage, tubulysin B binds to tubulin and inhibits microtubule polymerization, which blocks cell division and results in G2/M phase arrest, tumor cell apoptosis and a decrease in PSMA-expressing tumor cells.",This investigational agent is a PSMA-targeted Small Molecule Drug Conjugate (SMDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2629,Folate receptor positive cancer cells; Tumor-associated macrophages (TAMs),,Endocyte ,Oncology,Triple negative breast cancer (TNBC); Drug-resistant ovarian cancer,Preclinical; Projected IND filing in 2017.,,,,,"This is an investigational, proprietary folate receptor-targeted Small Molecule Drug Conjugate (SMDC) utilizing a potent DNA-reactive cytotoxic agent to treat cancer.   Th agent targets and eliminates both folate receptor positive cancer cells as well as the tumor-associated macrophages (TAMs) that reside within the tumor environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDC1 (DYS-ADC),"Dysadherin (also known as  FXYD5); a cancer cell membrane-associated glycoprotein that has been recognized as a prognostic indicator of metastasis and/or poor survival in many different cancer types. The presence of dysadherin expression contributes causally to cancer metastasis in a number of ways, including downregulation of E-cadherin-mediated cell adhesion, upregulation of tumor-promoting chemokine production and enhancement of cancer stem-cell properties.",EDC1; EDC-1; DYS-ADC; DYS-EDC;,Centrose (Originator: Wisconsin Alumni Research Foundation - WARF),Oncology,Thyroid Carcinoma; Pancreatic Cancer; Lymphoma;,Preclinical,Anti-dysadherin antibody (NCC-M53) ,A proprietary long non-cleavable linker.,"CEN-106, a novel Na,K-ATPase inhibitor known to induce necrosis in human cancer cell types.",Cardiac glycosides; Immunoconjugates,"An extracellular-drug conjugates (EDC) requires no internalization. Rather, EDCs target cell surface proteins that are expressed on a target cell. Also, the cytotoxic agent linked to the mAb does not target the same protein targeted by the mAb. Rather, the cytotoxic agent kills the targeted cells by affecting a protein or enzyme that is different from the protein or enzyme bound by the mAb but that is closely associated with the target protein or enzyme.",,,"EDC1 is a non-internalizing extracellular-drug conjugate (EDC) which, similar to an antibody-drug conjugate, binds and inhibits the Na,K-ATPase on the surface of cancer cells expressing dysadherin.",,,,,,,,,,,,,Extracellular targeted drug conjugates; WO 2012178173 A1,,,,,,,,,,,,,,,,
EDC9 (EDC-CD20),CD20 and sodium-potassium ATPase.,EDC9; EDC-CD20 ,Centrose (Originator: Wisconsin Alumni Research Foundation - WARF),Oncology,Diffuse large B cell lymphoma.,Preclinical,,"A proprietary long non-cleavable, fexible, stable linker.",Rituximab is conjugated to a steroidal glycoside,"B cell inhibitors;  CD20 antigen inhibitors.  Following EDC binding, the drug sends signals into the cell, inducing strong programmed cell death responses. Because EDCs act outside of the membrane, internalization and degradation are not required. Degradation leads to drug neutralization, a major safety mechanism that prevents off-target side effects.","An extracellular-drug conjugates (EDC) requires no internalization. Rather, EDCs target cell surface proteins that are expressed on a target cell. Also, the cytotoxic agent linked to the mAb does not target the same protein targeted by the mAb. Rather, the cytotoxic agent kills the targeted cells by affecting a protein or enzyme that is different from the protein or enzyme bound by the mAb but that is closely associated with the target protein or enzyme. Based on preclinical DLBCL tumor models, EDC9 has dose dependent antitumor activity that surpasses Rituximab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDO-772P/B776,A fragment of the cancer antigen 125 (CA125) ,,Mundipharma EDO GmbH,,Ovarian cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDO-B278,Human tissue factor,,Mundipharma EDO GmbH,,Solid Tumors,,,,,,,,Phase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP-400,,EP-400,Esperance Pharmaceuticals,Oncology Hematology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV20/MMAF,HER3,EV20/MMAF,Mediapharma,Oncology,,Preclinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enapotamab vedotin | HuMax-AXL-ADC | AXL-107-MMAE,"AXL (AXL receptor tyrosine kinase, tyrosine-protein kinase receptor UFO), a signaling molecule expressed on many solid cancers and implicated in tumor biology.",HuMax-AXL-ADC AXL-107-MMAE Anti-AXL-ADC,Genmab in collaboration with Seattle Genetics,Oncology,Solid tumors including - Ovarian cancer; - Non Small Cell Lung Cancer (NSCLC);  - Endometrial cancer; - Cervical cancer; - Thyroid Cancer.,"Phase I  Phase II  A first-in-human, open-label, dose-escalation trial with expansion cohorts to evaluate safety of enapotamab vedotin in patients with solid tumors (update May 2020)",Immunoglobulin G1-kappa.  ,A cleavable maleimidocaproyl-valyl-citrullinyl-p- aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker  Protease Cleavable Linker,Monomethyl auristatin E (MMAE)  An average of 4 cysteinyl,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6948776/,Enapotamab Vedotin (HuMax-AXL-ADC) Safety Study in Patients With Solid Tumors - NCT02988817 https://www.clinicaltrials.gov/ct2/show/NCT02988817,"Enapotamab vedotin (HuMax®-AXL-ADC) is an antibody-drug conjugate (ADC) targeted to Axl (from anexelekto, or uncontrolled growth). Axl is a unique RTK that is aberrantly expressed in many solid tumor types and is implicated in tumor cell proliferation, migration, and invasion. Enapotamab vedotin is in Phase I/II development for multiple types of solid tumors: ovarian, cervical, endometrial, thyroid, non-small cell lung cancer, melanoma and sarcoma. Enapotamab vedotin is fully owned by Genmab, and the ADC technology used with enapotamab vedotin has been licensed from Seattle Genetics. ",Homo sapiens (VH 95.9%) (VL 100.0%),,ADC technology licensed from Seattle Genetics. ,Enapotamab vedotin,118 | 2017,10769,80 |  2018,1912424-97-5,43HH4XYH2N,,,,,,,,,,,,,,,,,,,,
Enfortumab Vedotin | ASG-22ME | ASG-22MSE,"Cell Surface Protein Nectin 4 (PVRL4 / poliovirus receptor-related 4, nectin-4, nectin 4, PPR4, LNIR)   ","AGS-22CE, AGS-22M;  AGS-22M6E; AGS-22ME; ASG-22ME;",Astellas Pharma (Agensys)  /  Seattle Genetics,Oncology,"Bladder, breast, lung, pancreas cancer and solid tumor","Phase I  Ongoing single-arm, pivotal phase II single-arm clinical trial known as EV-201 (NCT03219333)",AGS-22C3 or AGSM6,A cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker   on an average of 3-4 cysteinyl,Monomethyl Auristatin E (MMAE) ,Enzyme Cleavable / Tubulin Polymerization Inhibitor,,https://adc.expert/30hU4Wz,http://adc.expert/1DwBRFm http://adc.expert/1vsSfjB ,,Homo sapiens,,,Enfortumab Vedotin,109 | 2013,9821,71 | 2014,1346452-25-2,DLE8519RWM,CHO (Chinese Hamster Ovary) cell,,1349.7134,,,,,,,,,,,,,,,,,
Epitumomab cituxetan,"MUC1 (mucin 1, polymorphic epithelial mucin, PEM, episialin, CD227)",Anti-MUC1 Therapeutic Antibody,,Oncology,Epithelial ovarian,Phase III,HMFG 1,,,,,,,"conjugated with chelator cituxetan  radiolabelled with Yttrium-90, Y-90",Mus musculus,,,Epitumomab cituxetan,89 | 2003,8372,51 | 2004,263547-71-3,UNII-07HB886F99,,C28H42N6O12S,686.734 g/mol,,,Mus musculus,,686.258 g/mol,,,,,,,,,,,,
Epratuzumab Tesirine | ADCT-602 | hLL2-cys-PBD,CD22;  a type-I transmembrane sialoglycoprotein with expression restricted to the B-cell lineage ,ADCT 602 ADCT602 ADCT-602; ADC ADCT-602 antibody-drug conjugate ADCT-602 anti-CD22/PBD ADC ADCT-602 epratuzumab-cys-SG3249 epratuzumab-cys-tesirine hLL2-cys-PBD hLL2-cys-SG3249,ADC Therapeutics,Oncology,Clinical inducation includes:  - Follicular  lymphoma  (FL) - marginal  zone  lymphoma  (MZL) - Mantle cell lymphoma (MCL) - Difuse large B-cell lymphoma (DLBCL) - small lymphocytic lymphoma  (SLL) - chronic  lymphocytic  leukemia  (CLL),Preclinical Phase I Phase I/II  A phase I/II trial designed to study the side effects and best dose of ADCT-602 in treating patients with B-cell lymphoblastic leukemia that has come back or does not respond to treatment. Study conducted by  M.D. Anderson Cancer Center in  collaboration with the : National Cancer Institute (NCI) and  ADC Therapeutics (Updated: May 2020),A humanized anti-CD22 monoclonal antibody epratuzumab (hLL2)  Derived from the murine immunoglobulin (Ig) G2a monoclonal antibody LL2 (EPB-2),The agent is stochastically conjugated via a cathepsin-cleavable valine-alanine (val-ala) peptide linker,A Pyrrolobenzodiazepine (PBD) dimer toxin.  Antibody to drug ratio (DAR) is 1.7.,"Following administration of epratuzumab tesirine or ADCT-602, the epratuzumab moiety targets and binds to the B-cell-specific CD22 receptor and is rapidly internalized. After cleavage, the imine groups of tesirine target and bind to the N2 positions of guanines on opposite strands of DNA. This induces interstrand cross-links in the minor groove of DNA and inhibits DNA replication, which inhibits the proliferation of CD22-overexpressing tumor cells. This is followed by apoptosis (of the tumor cell).",,,ADCT-602 in Treating Patients With Recurrent or Refractory B-cell Acute Lymphoblastic Leukemia - NCT03698552 https://clinicaltrials.gov/ct2/show/NCT03698552,"Epratuzumab tesirine or ADCT-602 is an antibody-drug conjugate (ADC) composed of a cysteine-engineered version of epratuzumab (hLL2), a humanized anti-CD22 monoclonal antibody derived from the murine immunoglobulin (Ig) G2a monoclonal antibody LL2 (EPB-2), site-specifically conjugated to the cross-linking cytotoxic agent tesirine (SG3249), a cathepsin B-cleavable valine-alanine pyrrolobenzodiazepine dimer (PBD),",Humanized,,,Epratuzumab Tesirine,,,,,7X6143A60Y,,,,,,,,,,,,,,,,,,,,
Epratuzumab–SN-38,CD22,,Immunomedics,,Lymphoma and Leukemia,,,,Irinotecan metabolite (SN38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0002-ADC | CD30-MCC-DM1,"CD30, also known as TNFRSF8, is a 120kD transmembrane protein of the tumor necrosis factor (TNF-) family and a known tumor marker found on many different types of lymphomas",F0002-ADC CD30-MCC-DM1,Fudan-Zhangjiang Bio-Pharmaceutica,Hematology,Refractory or Recurrent CD30+ Hematologic Malignancies,"Phase I  A phase I dose-escalation study to designed to evaluate the safety, tolerability, pharmacokinetics, and efficacy of F0002-ADC in Chinese patients with refractory or recurrent CD30+ hematologic malignancies.",CD30 targeting antibody,Stable SMCC linker,"DM1 or Mertansine, a thiol-containing maytansinoid",,,"Shen Y, Yang T, Cao X, et al. Conjugation of DM1 to anti-CD30 antibody has potential antitumor activity in CD30-positive hematological malignancies with lower systemic toxicity. MAbs. 2019;11(6):1149-1161. doi:10.1080/19420862.2019.1618674",A Study of F0002-ADC in Chinese Patients With Refractory or Recurrent CD30+ Hematologic Malignancies. - NCT03894150 https://clinicaltrials.gov/ct2/show/NCT03894150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS-1502,HER2/neu,FS-1502 Trastuzumab Monomethyl Auristatin F,"Shanghai Fosun Pharmaceutical Development Co, Ltd.",Oncology,"Patients with metastatic, HER2 positive metastatic breast cancer","Phase I  A phase I study designed as an open label, single arm, study with a dose-escalation phase to evaluate FS-1502 in patients with HER2 expressed advanced malignant solid tumors (phase 1a) and an expanded cohort (phase 1b) to evaluate FS-1502 in patients with metastatic, HER2-positive breast cancer. The primary aim of the phase 1a portion of this study is to determine the safety and tolerability of FS-1502. The primary aim of the phase 1b portion is to demonstrate efficacy.",Trastuzumab,,Monomethyl Auristatin F,,,,"Phase 1 Study of FS-1502 in Patients With HER2 Expressed Advanced Solid Tumors and Local Advanced or Metastatic, HER2 Positive Breast Cancer. NCT03944499 / https://clinicaltrials.gov/ct2/show/study/NCT03944499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC1007,Undisclosed,,"GeneQuantum Healthcare (Suzhou, China) ",Oncology,,Pre-clinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC1009,Undisclosed,,"GeneQuantum Healthcare (Suzhou, China)",Oncology,,Pre-clinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM103,Anti-Müllerian hormone type II receptor (AMHRII),GM103,GamaMabs,Oncology,,,,Cleavable linker,Auristatin derivative,Site-directed conjugation ,,,,,humanized IgG1 antibody,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1001 - HER2,HER2+ tumors,GQ1001,"GeneQuantum Healthcare (Suzhou, China)",Oncology,HER2-positive solid tumors,Phase I,Trastuzumab,,"DM1 [N2’-deacetyl-N2’-(3-mercapto-1-oxopropyl)-maytansine], a synthetic derivative of the microtubule-targeted agent maytansine",,,,,,,,intelligent ligase-dependent conjugation (iLDC) system based on the independently developed ligase-dependent conjugation (LDC) technology.,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1003 - TROP2,TROP2,,"GeneQuantum Healthcare (Suzhou, China)",Oncology,"NSCLC, TNBC and other Solid Tumors",IND Enabeling Phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1005 - HER2,HER2,,"GeneQuantum Healthcare (Suzhou, China)",Oncology,"Low/medium Breast Cancer, Gastric or Gastroesophageal Junction Cancers and other HER2 expressing Solid Tumors",IND Enabling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1014,Undisclosed,,"GeneQuantum Healthcare (Suzhou, China)",Oncology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1015,Undisclosed,,"GeneQuantum Healthcare (Suzhou, China) ",Oncology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1017,Undisclosed,,"GeneQuantum Healthcare (Suzhou, China) ",Oncology,,Pre-clinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ1018,Undisclosed,,"GeneQuantum Healthcare (Suzhou, China) ",Oncology,,Pre-clinical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
